Label,Id
"""pescatore""","dispatcher, citizen"
"""pesce""","helper, magician"
"""moglie""","dispatcher, caregiver"
"""primogenito""","protagonist, hero"
"""oste""","helper, citizen"
"""Drago con sette teste""","villain, monster"
"""figlia""","prize, lover"
"""Re""","dispatcher, sovereign"
"""carbonaio""","villain, rebel"
"""cane""","helper, animal"
"""vecchierella""","villain, magician"
"""secondogenito""","helper, hero"
"""terzogenito""","helper, hero"
"""mercante""","dispatcher, caregiver"
"""Assunta""","villain, lover"
"""Carolina""","villain, lover"
"""Bellinda""","protagonist, caregiver"
"""Mostro""","villain, monster"
"""bel cavaliere""","prize, lover"
"""ragazzo""","protagonist, rebel"
"""genitori""","villain, caregiver"
"""uomo""","helper, magician"
"""Re""","dispatcher, sovereign"
"""carcerati""","helper, jester"
"""Principessa""","prize, innocent"
"""Re Massimiliano""","dispatcher, sovereign"
"""Andreino""","protagonist, explorer"
"""Mago""","helper, magician"
"""anziano""","helper, sage"
"""Gugliermo""","villain, lover"
"""Giovanni""","villain, lover"
"""Lugistella""","prize, lover"
"""Isabella""","prize, lover"
"""Andreino""","protagonist, hero"
"""Farfanello""","helper, sage"
"""soldati""","helper, citizen"
"""Fata Morgana""","villain, magician"
"""Regina Marmotta""","helper, sovereign"
"""mercante""","villain, caregiver"
"""Menichino""","protagonist, rebel"
"""vecchia""","helper, magician"
"""Fata""","helper, magician"
"""Re
                  del Portogallo""","dispatcher, sovereign"
"""cane""","helper, animal"
"""donna""","villain, citizen"
"""Principessa""","prize, sage"
"""Mago""","helper, magician"
"""fratello""","villain, lover"
"""Re""","dispatcher, sovereign"
"""Principi e Baroni""","villain, sovereign"
"""Principessa""","villain, lover"
"""fratello maggiore""","villain, lover"
"""sicari""","villain, citizen"
"""mercante di
                  buoi""","helper, citizen"
"""Re""","dispatcher, sovereign"
"""Giovanni""","protagonist, explorer"
"""Antonio""","protagonist, explorer"
"""scimmia""","helper, animal"
"""scimmia""","prize, animal"
"""ragazza bella""","prize, lover"
"""pover'uomo""","dispatcher, caregiver"
"""Assunta""","villain, lover"
"""Rosina""","protagonist, innocent"
"""matrigna""","villain, caregiver"
"""una delle vacche più
                  vecchie""","helper, animal"
"""quattro rospette""","helper, animal"
"""rospetta azzoppata""","villain, animal"
"""cacciatore""","villain, citizen"
"""figlio del Re""","prize, lover"
"""Re""","dispatcher, sovereign"
"""Principessa""","prize, lover"
"""fratello maggiore""","protagonist, explorer"
"""tappetaio""","helper, citizen"
"""fratello mezzano""","protagonist, explorer"
"""merciaio ambulante""","helper, citizen"
"""Principe""","protagonist, explorer"
"""fruttivendolo""","helper, citizen"
"""Re""","helper, caregiver"
"""Fiordinando""","protagonist, sage"
"""cacciatore""","helper, explorer"
"""dodici damigelle""","helper, creator"
"""Regina ""","prize, lover"
"""madre""","helper, sage"
"""oste""","helper, citizen"
"""ragazza""","villain, lover"
"""eremita""","helper, sage"
"""contadino""","dispatcher, citizen"
"""testa di
                  bufala""","helper, object"
"""mamma""","dispatcher, caregiver"
"""bambina""","protagonist, innocent"
"""ragazza""","protagonist, innocent"
"""Principe""","prize, lover"
"""Regina""","villain, caregiver"
"""Pietro""","protagonist, lover"
"""Re""","villain, sovereign"
"""ragazza""","prize, lover"
"""Mago""","dispatcher, magician"
"""Maga""","helper, magician"
"""Governatore""","dispatcher, sovereign"
"""moglie""","villain, lover"
"""Carolina""","helper, sovereign"
"""Assuntina""","helper, sovereign"
"""Fanta-Ghirò""","protagonist, hero"
"""Re""","villain, sovereign"
"""Tonino""","helper, citizen"
"""Re nemico""","prize, lover"
"""madre""","helper, sage"
"""Re""","villain, caregiver"
"""sorelle""","villain, lover"
"""ragazza""","protagonist, innocent"
"""balia""","helper, caregiver"
"""becchino""","helper, citizen"
"""Regina""","dispatcher, sovereign"
"""figlio del Re""","prize, lover"
"""ricco Ebreo""","villain, caregiver"
"""contadino""","helper, citizen"
"""Uliva""","protagonist, innocent"
"""Re""","helper, lover"
"""Regina""","villain, sovereign"
"""vecchina""","helper, magician"
"""contadino""","villain, citizen"
"""Caterina""","protagonist, creator"
"""Re""","villain, sovereign"
"""Regina""","protagonist, creator"
"""contadino""","dispatcher, citizen"
"""uomo benestante""","dispatcher, caregiver"
"""Giuseppe""","protagonist, explorer"
"""selvaggi vestiti di pelli d'animali""","helper, citizen"
"""Re""","dispatcher, sovereign"
"""bella selvaggia""","prize, lover"
"""figlia del Re""","prize, lover"
"""animale""","helper, monster"
"""Re""","villain, caregiver"
"""Regina""","villain, caregiver"
"""astrologhi""","helper, sage"
"""balia""","helper, caregiver"
"""figlia della balia""","helper, explorer"
"""Sole""","dispatcher, element"
"""figlia
                  del Re""","dispatcher, innocent"
"""figlia del Sole""","protagonist, magician"
