Label,Id
"""Giovannin senza paura""","protagonist,explorer"
"""padrone""","dispatcher,citizen"
"""omone gigantesco""","dispatcher,magician"
"""Re""","dispatcher,sovereign"
"""figlia""","prize,lover"
"""capitano di lungo corso""","villain,sovereign"
"""Baciccin Tribordo""","protagonist,jester"
"""polpo enorme""","villain,monster"
"""uomo avvolto in un mantello nero""","helper,sovereign"
"""genitori""","helper,caregiver"
"""losco""","villain,jester"
"""zoppo""","villain,jester"
"""tignoso""","villain,jester"
"""giovane""","protagonist,explorer"
"""locandiere""","helper,citizen"
"""Principessa""","prize,lover"
"""vecchio marinaio con la barba fino ai ginocchi""","helper,sage"
"""topi""","helper,animal"
"""formiche""","helper,animal"
"""uccelli rapaci""","helper,animal"
"""nano""","villain,monster"
"""Fata Sibiana""","villain,sovereign"
"""povero pescatore""","helper,caregiver"
"""un giovane ""","dispatcher,lover"
"""sposa""","protagonist,creator"
"""bambino""","dispatcher,innocent"
"""padrona""","dispatcher,citizen"
"""tre giovanotti""","villain,rebel"
"""figlia""","protagonist,innocent"
"""madre""","villain,caregiver"
"""giovane""","dispatcher,sovereign"
"""vecchia dalle lunghe ciglia""","helper,magician"
"""vecchia dalle labbra penzoloni""","helper,magician"
"""vecchia coi denti in fuori""","helper,magician"
"""vedova""","dispatcher,caregiver"
"""Giuanin""","protagonist,explorer"
"""Re""","dispatcher,sovereign"
"""Rondello""","prize,animal"
"""servitori""","villain,citizen"
"""figlia""","prize,trickster"
"""Mago Corpo-senza-l'anima""","villain,magician"
"""leone""","helper,animal"
"""formica""","helper,animal"
"""cane""","helper,animal"
"""aquila""","helper,animal"
"""Principe""","protagonist,creator"
"""Re""","dispatcher,sovereign"
"""figlia""","prize,lover"
"""vecchia""","helper,caregiver"
"""orefice""","helper,citizen"
"""pastore piccino e dispettoso""","protagonist,rebel"
"""pollaiola""","villain,citizen"
"""madre""","dispatcher,caregiver"
"""donnina che faceva l'altalena in un guscio di
                  noce""","helper,sage"
"""uomo che insaccava
                  nebbia""","helper,sage"
"""volpe che parlava""","helper,animal"
"""vecchia""","villain,magician"
"""Bargaglina""","prize,lover"
"""Brutta-schiava""","villain,caregiver"
"""lavandaia""","dispatcher,caregiver"
"""figlia maggiore""","protagonist,rebel"
"""Naso d'Argento""","villain,magician"
"""sorella""","protagonist,jester"
"""Lucia""","protagonist,creator"
"""Masino""","protagonist,hero"
"""Maschera
                  Micillina""","villain,magician"
"""Conte""","villain,sovereign"
"""vecchio""","dispatcher,citizen"
"""uomo""","dispatcher,caregiver"
"""servitori""","helper,caregiver"
"""Perina""","protagonist,hero"
"""figlio del Re""","prize,lover"
"""Re""","dispatcher,sovereign"
"""vecchiettina""","helper,sage"
"""cassetta""","villain,object"
"""porta""","helper,object"
"""fiume""","helper,object"
"""cani""","helper,animal"
"""tre donne""","helper,citizen"
"""gallina coi pulcini d'oro""","prize,animal"
"""contadino""","dispatcher,caregiver"
"""biscia""","helper,animal"
"""ragazza""","protagonist,hero"
"""figlio del Re""","prize,lover"
"""Re""","dispatcher,sovereign"
"""il più vecchio di
                  tutti i Savi""","helper,sage"
"""sorelle sempre
                  invidiose""","villain,lover"
"""cavallante""","helper,citizen"
"""ragazzo""","protagonist,rebel"
"""madre""","dispatcher,caregiver"
"""confessore""","dispatcher,citizen"
"""Re""","dispatcher,sovereign"
"""serpente con tre teste""","villain,monster"
"""figlia del Re""","prize,lover"
"""Re""","dispatcher,sovereign"
"""rana""","helper,animal"
"""figlio del Re""","protagonist,innocent"
"""Principessa trasformata in rana""","prize,lover"
"""mercante""","dispatcher,caregiver"
"""figlia""","protagonist,lover"
"""Re""","villain,lover"
"""pappagallo""","helper,animal"
"""vecchia""","villain,sage"
"""dodici fratelli""","helper,rebel"
"""ragazza""","protagonist,innocent"
"""vecchia""","villain,magician"
""" vecchia""","villain,magician"
"""Principe""","helper,lover"
"""vecchia""","villain,magician"
"""Cric""","protagonist,rebel"
"""Croc""","protagonist,rebel"
"""Re""","dispatcher,sovereign"
"""Portacalcina""","villain,rebel"
"""figlia""","prize,lover"
"""Re""","dispatcher,caregiver"
"""figlia""","protagonist,lover"
"""matrigna""","villain,sovereign"
"""dame di Corte""","villain,citizen"
"""Regina""","villain,sovereign"
"""Principe""","helper,lover"
"""Masca""","helper,magician"
"""Re""","dispatcher,sovereign"
"""quattro Masche""","helper,magician"
"""Re""","dispatcher,caregiver"
"""Re
                  Crin""","prize,jester"
"""terza
                  figlia""","protagonist,hero"
"""vecchia""","helper,caregiver"
"""Vento""","villain,element"
"""vecchia""","helper,caregiver"
"""Fulmine""","villain,element"
"""madre del Tuono""","helper,caregiver"
"""Tuono""","villain,element"
"""Principessa""","villain,lover"
"""fantesca""","villain,sage"
"""giovane""","prize,jester"
"""contadino""","protagonist,citizen"
"""vecchio""","villain,sovereign"
"""Stella Diana""","protagonist,jester"
"""giovane signore""","protagonist,jester"
"""giovane""","protagonist,explorer"
"""figlia""","prize,lover"
"""forestiero""","dispatcher,explorer"
"""Re del Sole""","villain,sovereign"
"""vecchio""","helper,citizen"
"""vecchio""","helper,citizen"
""" un uomo e una donna""","helper,citizen"
"""soldati""","villain,citizen"
""" un uomo e una donna""","helper,citizen"
"""due sagrestani""","helper,citizen"
""" Un ricco mercante""","villain,caregiver"
"""Bobo""","protagonist,explorer"
"""maestro""","helper,sage"
"""due servi""","helper,citizen"
"""cane""","helper,animal"
"""contadini""","helper,citizen"
"""ladri""","villain,rebel"
"""rane""","dispatcher,animal"
"""figlia""","prize,innocent"
"""due
                  uomini""","helper,citizen"
""" Una povera donna""","dispatcher,caregiver"
""" stuoiaio""","helper,citizen"
"""Caterina""","protagonist,caregiver"
"""falegname""","helper,citizen"
"""Giulia""","protagonist,caregiver"
"""Marietta""","protagonist,sage"
"""fabbro""","helper,citizen"
"""lupo""","villain,animal"
"""Re""","dispatcher,sovereign"
"""Gàmbara""","protagonist,jester"
"""servi""","villain,citizen"
"""tre sorelle""","protagonist,creator"
"""mamma""","dispatcher,caregiver"
"""lupo""","villain,animal"
"""la più piccola""","protagonist,creator"
"""paesani""","helper,citizen"
"""un giovane""","protagonist,rebel"
"""vecchio con una barba bianca fino al
               petto""","dispatcher,sage"
"""vecchio con la
                  barba fino all'ombelico""","dispatcher,sage"
"""vecchio con la barba fino ai
                  ginocchi""","dispatcher,sage"
"""vecchio con la barba fino ai piedi""","dispatcher,sage"
"""carrettiere""","dispatcher,citizen"
"""Morte""","villain,sovereign"
"""devoto di San Giuseppe""","protagonist,citizen"
"""San Pietro""","villain,sage"
"""San Giuseppe""","helper,sage"
"""tre sorelle""","protagonist,creator"
"""Il giovane""","prize,lover"
"""madre""","helper,sage"
"""tre Fate""","helper,magician"
"""bellissima
                     giovane""","protagonist,lover"
"""Clementina""","protagonist,innocent"
"""il falegname""","helper,citizen"
"""pescatore""","dispatcher,citizen"
"""Re""","dispatcher,caregiver"
"""Principessa""","protagonist,innocent"
"""granchio""","prize,animal"
"""vagabondo""","helper,citizen"
"""Fata""","villain,magician"
"""bel giovane""","prize,lover"
"""padre""","villain,caregiver"
"""Diavolo""","villain,sovereign"
"""madre""","dispatcher,caregiver"
"""sorellina""","protagonist,hero"
"""signore""","helper,citizen"
"""fratelli""","prize,caregiver"
"""Re""","villain,sovereign"
"""suocera""","villain,caregiver"
"""servitore""","helper,citizen"
"""tredici assassini""","helper,rebel"
"""Re""","dispatcher,caregiver"
"""La figlia""","protagonist,creator"
"""vecchia""","villain,magician"
"""L'Omo morto""","prize,sovereign"
"""schiava""","villain,lover"
"""negoziante""","helper,sage"
"""coltello""","helper,object"
"""marito e moglie""","dispatcher,caregiver"
"""Mago""","helper,magician"
"""fantesca""","helper,citizen"
"""figlia""","prize,innocent"
"""Mago""","villain,magician"
"""tre vecchie Fate""","helper,magician"
"""Pomo""","protagonist,lover"
"""Scorzo""","protagonist,hero"
"""Una donna""","dispatcher,caregiver"
"""strega""","villain,magician"
"""anguilla""","helper,animal"
"""anguilla
                  grande""","helper,animal"
"""figlia del Re""","villain,innocent"
"""Mago""","helper,magician"
"""Re""","dispatcher,sovereign"
"""Mezzo""","protagonist,rebel"
"""madre""","dispatcher,caregiver"
"""due mani""","helper,object"
"""ragazza""","protagonist,explorer"
"""Il nonno""","helper,magician"
"""Re""","prize,lover"
"""un Re e una Regina""","dispatcher,sovereign"
"""dodici astrologhi""","helper,sage"
"""vecchio""","villain,sage"
"""figlia""","protagonist,lover"
"""figlio del Re di Danimarca""","prize,creator"
"""Regina""","helper,sovereign"
"""Pierino Pierone""","protagonist,rebel"
"""Strega Bistrega""","villain,magician"
"""Margherita Margheritone""","villain,caregiver"
"""cacciatore""","helper,citizen"
"""Re""","dispatcher,caregiver"
"""Principessa""","prize,rebel"
"""
                  ragazzo con la tigna in testa""","protagonist,jester"
"""povera
                  donna""","helper,magician"
"""una bella fanciulla bionda""","helper,magician"
"""due figlie""","villain,innocent"
"""prete""","villain,citizen"
"""calderaio""","villain,citizen"
"""Re""","protagonist,caregiver"
"""Principe""","dispatcher,innocent"
"""prete""","helper,citizen"
"""Re""","helper,sovereign"
"""giovane""","prize,innocent"
"""confessore""","helper,sage"
"""Il giovane""","protagonist,citizen"
"""giovane morto""","helper,magician"
"""vecchietto""","helper,citizen"
"""Vescovo""","helper,sage"
"""poveruomo""","protagonist,citizen"
"""moglie""","dispatcher,citizen"
"""forestiero""","helper,sovereign"
"""Signore""","helper,sovereign"
"""Signore""","protagonist,sovereign"
"""San Pietro""","protagonist,jester"
"""soldato""","helper,citizen"
"""figlia del Re""","prize,innocent"
"""Re""","dispatcher,sovereign"
"""Gesù""","protagonist,sovereign"
"""San Pietro""","protagonist,jester"
"""Donna
               Catìn""","helper,citizen"
"""Comare Giacoma""","villain,citizen"
"""donna""","villain,citizen"
"""Signore""","protagonist,sovereign"
"""San Giovanni""","protagonist,sage"
"""San Pietro""","protagonist,jester"
"""giovane""","protagonist,explorer"
"""vecchietta""","helper,magician"
